Year,Award,Movie,Nominee,Detail
2019,ACTOR IN A LEADING ROLE,Vice,CHRISTIAN BALE,Vice
2019,ACTOR IN A LEADING ROLE,A Star Is Born,BRADLEY COOPER,A Star Is Born
2019,ACTOR IN A LEADING ROLE,At Eternity's Gate,WILLEM DAFOE,At Eternity's Gate
2019,ACTOR IN A LEADING ROLE,Bohemian Rhapsody,RAMI MALEK,Bohemian Rhapsody
2019,ACTOR IN A LEADING ROLE,Green Book,VIGGO MORTENSEN,Green Book
2019,ACTOR IN A SUPPORTING ROLE,Green Book,MAHERSHALA ALI,Green Book
2019,ACTOR IN A SUPPORTING ROLE,BlacKkKlansman,ADAM DRIVER,BlacKkKlansman
2019,ACTOR IN A SUPPORTING ROLE,A Star Is Born,SAM ELLIOTT,A Star Is Born
2019,ACTOR IN A SUPPORTING ROLE,Can You Ever Forgive Me?,RICHARD E. GRANT,Can You Ever Forgive Me?
2019,ACTOR IN A SUPPORTING ROLE,Vice,SAM ROCKWELL,Vice
2019,ACTRESS IN A LEADING ROLE,Roma,YALITZA APARICIO,Roma
2019,ACTRESS IN A LEADING ROLE,The Wife,GLENN CLOSE,The Wife
2019,ACTRESS IN A LEADING ROLE,The Favourite,OLIVIA COLMAN,The Favourite
2019,ACTRESS IN A LEADING ROLE,A Star Is Born,LADY GAGA,A Star Is Born
2019,ACTRESS IN A LEADING ROLE,Can You Ever Forgive Me?,MELISSA MCCARTHY,Can You Ever Forgive Me?
2019,ACTRESS IN A SUPPORTING ROLE,Vice,AMY ADAMS,Vice
2019,ACTRESS IN A SUPPORTING ROLE,Roma,MARINA DE TAVIRA,Roma
2019,ACTRESS IN A SUPPORTING ROLE,If Beale Street Could Talk,REGINA KING,If Beale Street Could Talk
2019,ACTRESS IN A SUPPORTING ROLE,The Favourite,EMMA STONE,The Favourite
2019,ACTRESS IN A SUPPORTING ROLE,The Favourite,RACHEL WEISZ,The Favourite
2019,ANIMATED FEATURE FILM,INCREDIBLES 2,INCREDIBLES 2,"Brad Bird, John Walker and Nicole Paradis Grindle"
2019,ANIMATED FEATURE FILM,ISLE OF DOGS,ISLE OF DOGS,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson"
2019,ANIMATED FEATURE FILM,MIRAI,MIRAI,Mamoru Hosoda and Yuichiro Saito
